share,a,b,gamma,R,apr_ra
0.009204903209329585,0.005813108716212357,0.008253256826564123,0.017172373231527715,0.042,0.041712450433201
0.008586983274367287,0.016099763360005445,0.007820553146964192,0.009566364159726863,0.042,0.041712450433201
0.00856028092300215,0.01362176540727688,0.008193675077203769,0.011775696230008806,0.042,0.041712450433201
0.00856005175000711,0.010875584339445781,0.014303195620516013,0.008413256069348705,0.042,0.041712450433201
0.008494942243120121,0.021580396948284838,0.007220362397448891,0.005048742930974702,0.042,0.041712450433201
0.00843797604179543,0.010856938265683848,0.014272468442948315,0.00894861927469553,0.042,0.041712450433201
0.008177324823775662,0.013655268530011753,0.01058016730707931,0.010928823012324786,0.042,0.041712450433201
0.00816958127269486,0.008836415068464117,0.013897469164479924,0.012463705117207397,0.042,0.041712450433201
0.008126914548868004,0.021405971843524333,0.00971168611418119,0.004264720566140766,0.042,0.041712450433201
0.00812483102938025,0.013002270665419874,0.01593820143630606,0.0064509798262208096,0.042,0.041712450433201
0.008099849758571028,0.015741512205951,0.014099618169422446,0.005659474619765445,0.042,0.041712450433201
0.007759424628490374,0.016990824498007123,0.01580787292858451,0.0042594068229428,0.042,0.041712450433201
0.007712261546970121,0.011857447128029261,0.009706266779806879,0.01572101315279752,0.042,0.041712450433201
0.007653799684919448,0.010219388564715302,0.024864718799361626,0.0024854108669228134,0.042,0.041712450433201
0.007641449461054526,0.019360900611243414,0.012598306953491147,0.005671031078408831,0.042,0.041712450433201
0.007592076982342217,0.0156639000812448,0.01740407764316528,0.004806976318836443,0.042,0.041712450433201
0.007502328216108288,0.010686336375725346,0.021374085504653653,0.0062676222301948446,0.042,0.041712450433201
0.0073447428655900185,0.016408264438115033,0.006197893550064771,0.016544234620684082,0.042,0.041712450433201
0.007341640955932455,0.015303355546538173,0.01434797889872774,0.0095155995583161,0.042,0.041712450433201
0.007338868922041404,0.007586790702850715,0.02619669163755888,0.005398245777854096,0.042,0.041712450433201
0.007291476414492261,0.0187257999238452,0.013882212946355119,0.006828385254530444,0.042,0.041712450433201
0.007166164759504132,0.006728424364924127,0.02255864751161278,0.010838933657683939,0.042,0.041712450433201
0.007134952140326776,0.012028025235739979,0.013430950373148393,0.014842565472763735,0.042,0.041712450433201
0.007108502929854702,0.008889965476622005,0.02370411013181229,0.00785741883933949,0.042,0.041712450433201
0.007068616370018703,0.006775793019518975,0.01874373067369312,0.015160229139129029,0.042,0.041712450433201
0.006981921956319268,0.009765327391368895,0.013103201346359917,0.018316343937443812,0.042,0.041712450433201
0.006963607458807459,0.008453708628168249,0.01724188677129345,0.01559759473222976,0.042,0.041712450433201
0.006949635509288099,0.010762977227747581,0.023505975358670505,0.007107255765040766,0.042,0.041712450433201
0.0069332167133716845,0.009865102841151921,0.02093083751338904,0.010678252460522992,0.042,0.041712450433201
0.0068053670265727645,0.026397932323859497,0.01232898491973708,0.0035264345118947637,0.042,0.041712450433201
0.006654952729328746,0.0082361726737761,0.030313330179472426,0.004658853162828688,0.042,0.041712450433201
0.006600505103165224,0.021560340400971784,0.01602773207660158,0.005976709657222492,0.042,0.041712450433201
0.006598419371532655,0.011928155513825851,0.025888294803734172,0.005762102455179305,0.042,0.041712450433201
0.006593031126806791,0.017358932633430666,0.017474181256905735,0.008781054049785306,0.042,0.041712450433201
0.006466289115879967,0.008330424543932359,0.025039136057672058,0.011099463539743448,0.042,0.041712450433201
0.006456242809507453,0.01424337393005376,0.022192173855980542,0.008102672860741268,0.042,0.041712450433201
0.006447996921403931,0.006745102652369498,0.02254209809576207,0.015307976685109621,0.042,0.041712450433201
0.0063691478118270166,0.012213895431031003,0.01853536410897375,0.014397999605880335,0.042,0.041712450433201
0.0062976534189865185,0.01029997688648401,0.0243737892872639,0.01098602925609913,0.042,0.041712450433201
0.006244422170839102,0.01004243991491303,0.023638560550610394,0.012368026799454309,0.042,0.041712450433201
0.0062033424545701555,0.015161579185765715,0.014663120676944258,0.01652927283908023,0.042,0.041712450433201
0.006184963388315349,0.02123074251825451,0.01630556863952841,0.008955405728082682,0.042,0.041712450433201
0.006173575685066517,0.018409725650185556,0.01611697170833634,0.012050777587572175,0.042,0.041712450433201
0.006154867873506071,0.023737541977233035,0.018906747206024546,0.004074758684004103,0.042,0.041712450433201
0.006145933414744262,0.005257956650459737,0.026773125022158277,0.014755882551426788,0.042,0.041712450433201
