name,power,share
SmartNodes,97752822399,0.000358671923
CrowdControl,93366612719,0.000342578165
nylira.net,92475241202,0.000339307570
B-Harvest,83254563706,0.000305475317
Astrovault,83235128071,0.000305404005
Ztake.org,81863060984,0.000300369655
Chainflow,76383229142,0.000280263209
Apeiron Nodes | StakeDrop,74249095816,0.000272432706
OWALLET,70723758436,0.000259497637
dForce,62904619167,0.000230807870
Stargaze,62364906497,0.000228827571
Coinage x DAIC,59425786177,0.000218043433
Xilodyne,56848227536,0.000208585927
BackBone Labs | Delegate for $SOUL Claim Drop,55059748207,0.000202023689
Umbrella ☔,50281905095,0.000184492960
Skip,47959603218,0.000175972035
Huobi,45946047485,0.000168583953
vido.info,34974125687,0.000128326084
ChainLayer,33130925049,0.000121563064
cosmos hub,31355992794,0.000115050532
lunamint,29493612482,0.000108217138
Expedition | by Life and Crypto,26410119725,0.000096903273
commercio.network,26337095614,0.000096635335
Staking Fund,19315631285,0.000070872374
VoidStake,15965550571,0.000058580352
Inter Blockchain Services,13400965122,0.000049170447
NexuSecurus,11170866281,0.000040987830
HyperblocksPro,7103486837,0.000026063915
Atomic power node,2695770691,0.000009891246
ITRocket,2145783955,0.000007873250
DELIGHT,1885191540,0.000006917092
POSITIVA Ultra,946094810,0.000003471385
Cactus,733994033,0.000002693150
BlockPI,579257192,0.000002125394
DOUBLETOP,569970620,0.000002091320
Sr20de,465541802,0.000001708153
Unstake as we will shut down,377175921,0.000001383923
Shazoes,345000000,0.000001265864
Oleg,206536378,0.000000757818
VALIDARIOS,145735823,0.000000534730
LuckyStar,127288083,0.000000467042
Gelotto 🛡 Slash Protected,112755115,0.000000413718
Post Road,110057407,0.000000403820
decommissioned,98036364,0.000000359712
🦊 The Silver Fox,97754325,0.000000358677
Titan Network | Delegate for Claimdrop,97100000,0.000000356277
KonsorTech,82000000,0.000000300872
[NODERS]TEAM,77010000,0.000000282563
Mythos,54784639,0.000000201014
hulk,50000000,0.000000183459
