quantile,HHI,N_eff,Top1,Top5,Top10,rho,delta
0.05,0.02920873749751161,24.457422903354818,0.06252381803546217,0.25393361089578187,0.4253370422147283,0.12513735640972087,0.0031531506146878266
0.25,0.03440663794171412,25.541715116295507,0.07688550315961185,0.29310875231945605,0.4781863009105837,0.27815215365525875,0.01594393508746962
0.5,0.037176145490831154,26.8989695413229,0.08507300385330774,0.3129776060073731,0.5035744639353392,0.5,0.03372676329110151
0.75,0.0391516386282936,29.064161806590626,0.09100070199593041,0.32646517755001736,0.5203514469676899,0.7218478463447413,0.05751660554163448
0.95,0.04088738236246766,34.236333430920425,0.09630457953024077,0.3379267063738836,0.5342716604326956,0.8748626435902791,0.09786761832889546
