share,a,b,gamma,R,apr_ra
0.021234373314794927,5.109694282357655e-07,4.835327706140011e-06,0.0019884943875960485,0.042,0.04195766204257021
0.015613798806209677,1.7690676073644254e-06,5.31097357173315e-06,0.002704493097124323,0.042,0.04195766204257021
0.015450845906191035,2.594700110867944e-06,9.493331742514708e-06,0.0027280828097202606,0.042,0.04195766204257021
0.014986356231331158,1.3198966161929773e-06,2.3975610925677416e-06,0.0028213827051499414,0.042,0.04195766204257021
0.012967444767497461,1.1868770988616527e-06,3.6767083245929523e-06,0.003260078597782221,0.042,0.04195766204257021
0.01240951647667084,8.49541224900357e-07,3.0740844713951773e-06,0.003407809418809108,0.042,0.04195766204257021
0.012397573580543568,1.070298592176218e-06,1.8885870103803948e-06,0.0034120607676170274,0.042,0.04195766204257021
0.011339411156225197,4.118086336888054e-07,5.89489414559301e-06,0.0037273931204738113,0.042,0.04195766204257021
0.01132413522395113,5.460799252882346e-07,9.76315491413403e-06,0.003728427241942064,0.042,0.04195766204257021
0.010996674387366605,7.831950040622414e-07,3.3844910737526486e-06,0.0038459015201570824,0.042,0.04195766204257021
0.010474988908444333,1.0790198474142428e-06,1.404110725340376e-06,0.004039330927641832,0.042,0.04195766204257021
0.01026073865681755,1.9283169038187016e-06,6.4539313013066624e-06,0.004117827262224373,0.042,0.04195766204257021
0.00991767351894327,9.384800742171874e-07,5.689914843957918e-06,0.004262312032383094,0.042,0.04195766204257021
0.009790412960440642,3.793395351425364e-07,5.094350348637242e-06,0.00431895650533514,0.042,0.04195766204257021
0.009752659217876512,1.0910616583966258e-06,9.61038501973053e-06,0.004330469149356561,0.042,0.04195766204257021
0.00945339766387208,1.2907450918436357e-06,4.169443345393605e-06,0.004473136707110124,0.042,0.04195766204257021
0.009412293867369565,5.190047291069204e-07,6.00043413583619e-06,0.004491635636442355,0.042,0.04195766204257021
0.00934306270053835,7.870756102975506e-07,2.7418880113115885e-06,0.004527956994120347,0.042,0.04195766204257021
0.009338853560812998,1.3963969124872617e-06,8.313111329384181e-06,0.004523818847684766,0.042,0.04195766204257021
0.009324266054322988,9.680450305621715e-07,2.449934911961927e-06,0.004537202931465632,0.042,0.04195766204257021
0.009179732250525123,9.436121070926549e-07,1.8186290214380578e-05,0.004592982550889812,0.042,0.04195766204257021
0.009172603496190795,5.96407775691293e-07,5.0343778322733414e-06,0.004610066104307129,0.042,0.04195766204257021
0.008846281273108537,1.07801702004859e-06,3.116839470493843e-06,0.004781766173088482,0.042,0.04195766204257021
0.008435189455574962,5.343168187862682e-07,4.15652027549617e-06,0.005014515625637895,0.042,0.04195766204257021
0.00835830425472819,4.641193199816427e-07,7.383121266532395e-06,0.005057529196965649,0.042,0.04195766204257021
0.008197145572557879,6.501135332709942e-07,3.0994288579281985e-06,0.005161213926298404,0.042,0.04195766204257021
0.008097588802125367,2.230114101130855e-06,1.3895383900076344e-06,0.005224845075018829,0.042,0.04195766204257021
