name,entity_type,validators,effective_balance_gwei,share
NO - 0x3f68d194852fb0e6f121d0703d2e3f78931d92fb - Stader,None,810,25920000000000,0.000340014121
NO - 0x0af3ce40223cd1bb54bbd517c52b66489e673a9e,None,800,25600000000000,0.000335816416
NO - 0x9a8dc6dcd9fdc7efadbed3803bf3cd208c91d7c1,None,782,25024000000000,0.000328260547
NO - 0xd91eecc267ff626399798040d88de62c9e70acf0,None,774,24768000000000,0.000324902382
NO - 0x86c4c582215bb0ec70310c6ae971f33772cb0e59,None,770,24640000000000,0.000323223300
CSM Operator 422,None,765,24480000000000,0.000321124448
Serenita,None,756,24192000000000,0.000317346513
Prysm Client Team,None,720,23040000000000,0.000302234774
NO - 0x6bbba538c14d36ee92dd3941afe52736c5cfb842,None,684,21888000000000,0.000287123036
NO - 0xb8ed9ea221bf33d37360a76ddd52ba7b1e66aa5c,None,678,21696000000000,0.000284604412
NO - 0xf0e52218a721bec51cffc3afc8e3bbb9efbc8293,None,665,21280000000000,0.000279147396
CSM Operator 282,None,648,20736000000000,0.000272011297
NO - 0x8a25d8c9fa8c7a726137f2d618d85cbc2c083f78 - Puffer,None,626,20032000000000,0.000262776345
NO - 0x1de3626d6fc2d7c14af8020b5e8a0c3371d9195d,None,625,20000000000000,0.000262356575
NO - 0x64627611655c8cdcafae7607589b4483a1578f4a,None,612,19584000000000,0.000256899558
CSM Operator 35,None,608,19456000000000,0.000255220476
CSM Operator 273,None,608,19456000000000,0.000255220476
NO - 0x499b628441903598f68ac97f62bb817882938246 - Stader,None,600,19200000000000,0.000251862312
NO - 0xab331a3ccfa7c5d3b42edb522fc6878b9d3d9c1d,None,588,18816000000000,0.000246825066
NO - 0xf37fef00fe67956e9870114815c42f0cc18373ce - Puffer,None,585,18720000000000,0.000245565754
Besu Client Team,None,576,18432000000000,0.000241787819
NO - 0x2d2bfe2389b7b3779fa04d101f75a89f6a62dcd6,None,572,18304000000000,0.000240108737
CSM Operator 166,None,572,18304000000000,0.000240108737
NO - 0xc1a95d5f674f809b80d768c12cad12fbeb5c370c,None,567,18144000000000,0.000238009885
NO - 0xd93aef2867144297802b41e7887c5c0d5b853fed,None,564,18048000000000,0.000236750573
NO - 0xf6fd4ec926d83adadd725e67d4005763832f4679,None,557,17824000000000,0.000233812180
Erigon Client Team,None,552,17664000000000,0.000231713327
CSM Operator 159,None,540,17280000000000,0.000226676081
CSM Operator 226,None,540,17280000000000,0.000226676081
NO - 0xf9a9dddb41440c0ebcf9bf2f0c9818bcd397244f,None,540,17280000000000,0.000226676081
w3.labs,None,516,16512000000000,0.000216601588
NO - 0x24a9db8f232948c2f64a4bbd68ac52a2694efa9f,None,515,16480000000000,0.000216181818
Operator 0x41c,None,501,16032000000000,0.000210305030
CSM Operator 375,None,500,16000000000000,0.000209885260
CSM Operator 376,None,500,16000000000000,0.000209885260
Blockshard,None,499,15968000000000,0.000209465489
NO - 0xd714338098daaf32e46a20ff1293f57eff04dcca,None,480,15360000000000,0.000201489850
NO - 0x1f92ee8cf6483677c0c6381c48e2bf272764f0cc,None,461,14752000000000,0.000193514210
NO - 0x2a3ff5ca414bd3ce6e6b625e0e718b6a02e98fe3,None,455,14560000000000,0.000190995587
NO - 0x8af2565be72735484c1114a856b5c96735db1ed6,None,452,14464000000000,0.000189736275
NO - 0x174e0b45c03318b0c9bc03573028605b26764931,None,444,14208000000000,0.000186378111
NO - 0xd5c9e0646d418afd292d834e415ea499f4fea3c2,None,432,13824000000000,0.000181340865
NO - 0x665dd495742e25bfd5778e40d44a8c70303f7cee,None,414,13248000000000,0.000173784995
Obol - Heroic Hyena,None,400,12800000000000,0.000167908208
SSV - Humble Hummingbird,None,400,12800000000000,0.000167908208
CSM Operator 22,None,400,12800000000000,0.000167908208
Obol - Enigmatic Elk,None,400,12800000000000,0.000167908208
Obol - Lustrous Leopard,None,400,12800000000000,0.000167908208
Obol - Prancing Peacock,None,400,12800000000000,0.000167908208
Obol - Loyal Lark,None,400,12800000000000,0.000167908208
SSV - Unique Unicorn,None,400,12800000000000,0.000167908208
NO - 0x9246f1c4f24868e678fad180a0859392f8a4791d,None,400,12800000000000,0.000167908208
Obol - Knightly Kinkajou,None,400,12800000000000,0.000167908208
SSV - Splendid Swan,None,400,12800000000000,0.000167908208
SSV - Flirtatious Flamingo,None,400,12800000000000,0.000167908208
Obol - Elegant Eagle,None,400,12800000000000,0.000167908208
SSV - Resilient Rabbit,None,400,12800000000000,0.000167908208
Obol - Serendipitous Shark,None,400,12800000000000,0.000167908208
SSV - Intrepid Impala,None,400,12800000000000,0.000167908208
SSV - Graceful Gazelle,None,400,12800000000000,0.000167908208
SSV - Witty Wallaby,None,390,12480000000000,0.000163710503
SSV - Zippy Zorilla,None,390,12480000000000,0.000163710503
SSV - Gentle Gurnard,None,385,12320000000000,0.000161611650
SSV - Jubilant Jackdaw,None,385,12320000000000,0.000161611650
NO - 0xdb21b164a38a5ef18ba33e6a61ba192b3649f879,None,380,12160000000000,0.000159512798
NO - 0x03d2634f6b03b24f835be14f8807b58e6acd14cb,None,376,12032000000000,0.000157833715
NO - 0xb5c136a0cfb99c93473b085783e243956dd4047c,None,376,12032000000000,0.000157833715
