owner,validators,effective_balance_gwei,share
eth1:0xf8a0cf8f507f08c6414af944acaaf638ae6ffb4c,1375,44000000000000,0.001232253174
eth1:0x8ead0e8fec8319fd62c8508c71a90296efd4f042,1344,43008000000000,0.001204471466
eth1:0xfc1dc93c70576684ceae71213c6cbd39bd9ea16f,1344,43008000000000,0.001204471466
eth1:0x499867d2d9c3eb250bb6db5cdaa1e600e75272d7,1285,41120000000000,0.001151596602
eth1:0xc27c52de4e294eafbfede1521088f4e073c42fd2,1271,40672000000000,0.001139050025
eth1:0xe5fb5b912cf9f7e87b1a58cf9d9f1997ef9ef539,1260,40320000000000,0.001129191999
eth1:0xfc6e18e22ad11592494b3d541ba25af63a807527,1250,40000000000000,0.001120230158
eth1:0x2f777e9f26aa138ed21c404079e80656b448c711,1242,39744000000000,0.001113060685
eth1:0x186244ca2811aee3ad389ed68c23fecf56190696,1240,39680000000000,0.001111268317
eth1:0x4fef9d741011476750a243ac70b9789a63dd47df,1239,39648000000000,0.001110372133
eth1:0xc1df482ae1e583b2529987a4f1e265d8c5959353,1201,38432000000000,0.001076317136
eth1:0x48a7c7abdaaa46da13c2e44ecf3017c7a8f1f402,1197,38304000000000,0.001072732399
eth1:0xf69c234f91a3cb86242acda97577786481691a51,1186,37952000000000,0.001062874374
bls:0x00d1d7d07c93337262bb7e0020d79159d44e43089848dc6abab2dd37add3fa16,1172,37504000000000,0.001050327796
eth1:0x97e813b9a81d097e60a5e6311bc9a475199b67ae,1127,36064000000000,0.001009999510
eth1:0x6078050d9b668df08e0fdaa7aa7c8fcd49c462e0,1120,35840000000000,0.001003726222
eth1:0xdb6f0ba3383b129627097e7bd01148a3f50b92f3,1101,35232000000000,0.000986698723
eth1:0x35b4f07732fa5efb955962e62e7e0c283152f9cc,1083,34656000000000,0.000970567409
eth1:0x52f6f20582f9126716e21cb3db5faaac4df8357b,1075,34400000000000,0.000963397936
eth1:0x246ed81fe586097c69412c75cf608c8405aa8249,1075,34400000000000,0.000963397936
eth1:0x3938fc796125edf184b18a5c7f8ef0704386aede,1017,32544000000000,0.000911419257
eth1:0x0134f43350143c5db84bad62e68b5886d80f40ed,1003,32096000000000,0.000898872679
eth1:0xb56a28d6f7f820c5d94988ea52fa5b86de313a96,1000,32000000000000,0.000896184126
eth1:0x004c26816da9219cf3408e84edd9716df4b5739a,990,31680000000000,0.000887222285
eth1:0x7c7a907182fd3bceabf71b5885d3c5d482e24e51,984,31488000000000,0.000881845180
